1,幸せは、去ったあとに光を放つ。,西洋のことわざ
2,貧困は、必ずしも僕にとって忌むべきものではなかった。なぜなら、太陽と海とは、決してお金では買えなかったから。,アルベール・カミュ
3,運は「偶然+信念」である。,中谷彰宏（なかたに あきひろ)
4,どっちにすればいいかわからない時は、どっちにしてもうまくいく。,中谷彰宏（なかたに あきひろ)
5,人生は絵を描くことであって、計算することではない。,オリバー・ウェンデル・ホームズ・ジュニア
6,男は強くなければ生きていけない。優しくなければ生きる資格がない。,レイモンド・チャンドラー
7,幸せは行動にある。幸せは流れる川であって、よどんだ水たまりではない。,作者不詳
8,幸福に恵まれるために知恵はいらない。しかし、この幸福を活かすためには知恵がいる。,ユダヤの格言
9,幸福がこの上なく大きい場合には、微笑と涙が生まれる。,スタンダール
10,”悪い想像”は、どんな強気の人をも及び腰にし、”良い想像”は、どんな弱気の人をも積極的にします。,ジョセフ・マーフィー
11,他人を幸福にするのは、香水をふりかけるようなものだ。ふりかける時、自分にも数滴はかかる。,ユダヤの格言
12,あなたが秘密を隠している限り、秘密はあなたの囚人である。しかし、秘密を話した瞬間、あなたが秘密の囚人となる。,ユダヤの格言
13,善とは何か？あとアジの良いことだ。悪とは何か？あとアジの悪いことだ。,アーネスト・ヘミングウェイ 
14,あなたの顔を日光に向けていなさい。そうすれば、陰影を見なくてすむ。いつも真理に目を向けていなさい。そうすれば、あなたの心から不安・心配は消える。,ヘレン・ケラー
15,利益は、仕事の副産物である。幸福こそ、仕事の主要な産物である。,ヘンリー・フォード
16,自分の言ったことを決して取り消さない人は、真理より己を愛する人間である。,ジョセフ・ジュベール
17,人の絵を解そうとする人は多いが、小鳥の歌を解そうとする者は少ない。,パブロ・ピカソ
18,他人を感動させようとするなら、まず自分が感動せねばならない。そうでなければ、いかに巧みな作品でも決して生命ではない。,ジャン・フランソワ・ミレー
19,思考は、地獄を天国にもし、天国を地獄にすることもできる。,ジョン・ミルトン
20,王様であろうと、百姓であろうと、自分の家庭で平和を見出せる者が、いちばん幸福な人間である。,ゲーテ
21,荷物が重くてくじけそうになったら、ほかの荷物を軽くすればいい。,作者不詳
22,雨の日には雨の中を、風の日には風の中を。,相田みつを
23,つらい時には命のことを考えるのに、楽しい時には考えないのはなぜだろう？,3年B組金八先生 第7シリーズ
24,あなたが感謝すると恐れは消え豊かさが現れる。,アンソニー・ロビンズ
25,ゆっくり運転して景色を楽しみなさい。早く運転して景色になりなさい。,ダグラス・ホートン
26,世界に喜びしかなければ、決して勇敢であることや忍耐強くあることを学べないだろう。,ヘレン・ケラー
27,人生において無駄に浪費した一日は、笑わなかった一日だ。,セバスチャン・シャンフォール
28,充実した一日が幸せな眠りをもたらすように、充実した一生は幸福な死をもたらしてくれる。,レオナルド・ダ・ヴィンチ
29,一番美しい絵は、寝床のなかでパイプをくゆらせながら夢見て、決して実現しない絵だ。,ゴッホ
30,世界全体が幸福にならないかぎりは、個人の幸福はありえない。 ,宮沢賢治
31,我々は泣きながら生まれて、文句を言いながら生きて、失望しながら死ぬ。,西洋のことわざ
32,自分の力ではどうにもならないことは心配するな。,ユダヤの格言
33,運命とは、振り返ってみた時に劇的な結果をもたらした選択に与えられる名前である。,J・K・ローリング
34,人間は、自分が幸福であるという事を知らないから不幸なのである。,ドストエフスキー
35,物事の本質を見るために私は目を閉じるのです。,ポール・ゴーギャン
36,自分を笑えるものは他人に笑われない。 ,ユダヤの格言
37,心に欲がない時は、人間豊かに生きられる。,上杉謙信
38,毎朝、目を覚ます度にお前はこう言ってもいいだろう。目が見える、耳が聞こえる、体が動く、気分も悪くない・・・有難い、人生は美しい。,ジュール・ルナール
39,芸術は悲しみと苦しみから生まれる。,パブロ・ピカソ
40,真の自由とは、すべてのことを己の基準でなしうることである。,ミシェル・ド・モンテーニュ
41,何でも思い切ってやってみる事ですよ。どうせ人間は、野原の石ころ同様、骨となって一生を終えるのだから。,坂本龍馬
42,疲れた人は、しばし路傍（みちばた）の草に腰をおろして、道行く人を眺めるがよい。人は決してそう遠くへは行くまい。,ツルゲーネフ
43,人間は、関心を寄せるものが多ければ多いほど、ますます幸福になるチャンスが多くなる。,バートランド・ラッセル
44,しあわせは、いつもじぶんのこころがきめる。,相田みつを
45,今日を立派に生きることが、明日の希望を見いだすことである。,ヘレン・ケラー
46,表の並木には桜を。裏の並木には栗を。,加藤清正
47,なんと大洋の美しいことよ、なんと大空の澄んでいることか、点のような太陽、何事が起ころうと、この瞬間を生きていることでたくさんだ。,チャールズ・リンドバーグ
48,人生で最高のもの・最も美しいものは、目に見えず触れることもできません。それは、心で感じるものなのです。,ヘレン・ケラー
49,困ったことがおきたら「面白いことがおきた」と言ってみな、奇跡がおきるから。,斎藤一人（さいとう ひとり)
50,死は人生の終末ではない、生涯の完成である。,マルティン・ルター
51,運命に逆らえば運命に支配され、運命に従がえば運命を支配できる。,ユダヤの格言
52,人は、幸運の時には偉大に見えるかもしれないが、真に向上するのは不運の時だけである。,シラー
53,趣味を持たなければ、天才も高等な馬鹿にすぎない。,西洋のことわざ
54,死を間近に意識した人の目に映る風景は、なぜ、こうも光に輝いているのか？,柳田邦男
55,大きなことを考えなさい。でも、小さな喜びも噛みしめなさい。,ジャクソン・ブラウン
56,明日のことを心配しすぎてはいけない。今日これから起こることでさえ わからないのだから。,ユダヤの格言
57,世界中が苦しみに満ちている。また、その克服に満ちている。,ヘレン・ケラー
58,少ししか持たない者が貧しいのではなく、多くを望む物が貧しいのである。,セネカ
59,雨は一人だけに降り注ぐわけではない。,ロングフェロー
60,ユダヤ人は足を折っても、片足で良かったと感謝し、両足を折っても、首でなくて良かったと感謝する。首を折れば、もう何も心配することはない。 ,ユダヤの格言
61,どんなに悔いても過去は変わらない。どれほど心配したところで、未来もどうなるものでもない。いま、現在に最善を尽くすことである。,松下幸之助
62,何かを「築いた人」より、何かを「気づいた人」の方が幸せだ。,中谷彰宏（なかたに あきひろ)
63,時間が過ぎ去って行くのではない。われわれが過ぎ去っていくのだ。,西洋のことわざ
64,人間は、まだ十分に幸福ではなかったからこそ、死を恐れるのである。最高の幸福に恵まれれば、すぐに死にたいと思う。,エンゼ
65,人生の９９％が不幸だとしても、最期の１％が幸せならば、その人の人生は幸せなものに変わる。,マザー・テレサ
66,登山の目標は山頂と決まっている。しかし、人生の面白さはその山頂にはなく、かえって逆境の山の中腹にある。,吉川英治
67,寝床につく時に、翌朝起きることを楽しみにしている人は幸福である。,カール・ヒルティ
68,私の今までの生涯には、晴れた日も曇った日もあった。けれども、すべては自分のためになったのである。,アンデルセン
69,万人受けを目指して作られた車なんて、なんの魅力もありません。,イチロー
70,ワインを飲んでいる時間を無駄な時間だと思うな。その時間に、あなたの心は休養しているのだから。,ユダヤの格言
71,人は旅をして、ついには我が家へもどる。人は生きて、ついには大地へもどる。,西洋のことわざ
72,君たちの時間は限られている。だから、他の誰かの人生を生きて、時間を無駄にしてはいけない。,スティーブ・ジョブズ
73,いつまでも忘れられない言葉は、美しい言葉である。,茨木のり子 
74,脳はコンピューターのようなもの。部品が壊れれば動作しなくなる。壊れたコンピューターには天国も来世もない。天国は暗闇を恐れる人間のための架空の世界だよ。,スティーブン・ホーキング
75,運命がレモンをくれたら、それでレモネードを作る努力をしよう。,デール・カーネギー
76,良い日は幾らでもある。手に入れるのが難しいのは、良い人生だ。,アニー・ディラード
77,明日になれば仕事があるし、コンビニに行けばご飯もある。そんなにがんばらなくても生きていける・・・その感覚が本当の力を麻痺させているのかもしれない。,栗城史多（くりき のぶかず）
78,人生が終わってしまうことを恐れてはいけません。人生がいつまでも始まらないことが怖いのです。,グレース・ハンセン
79,人生とは面白いものです。何かひとつを手放したら、それよりずっといいことがやってくるものです。,サマセット・モーム
80,幸福人とは、過去の自分の生涯から満足だけを記憶している人々であり、不幸人とは、その反対を記憶している人々である。,萩原朔太郎（はぎわら さくたろう)
81,不幸な人は「神様救って下さい」と言う。もっと不幸な人は「神などいない」と言う。極限まで不幸な人は「自分が神だ」と言う。,作者不明
82,晴れた日は晴れを愛し、雨の日は雨を愛す。楽しみあるところに楽しみ、楽しみなきところに楽しむ。,吉川英治
83,この日光。この雲のない青空があり、生きてこれを眺めることのできる限り、私は不幸ではない。,アンネ･フランク
84,覚えていて悲しんでいるよりも、忘れて微笑んでいるほうがいい。 ,クリスティナ・ロセッティ
85,どうもがいてもダメな時がある。手を合わせるしか方法がない時がある。本当の目が開くのは、その時である。,相田みつを 
86,多くの人が「自分はひとりぼっちだ」と感じている。彼らは自分の内にいる人と対話しようとしない。,スティーヴィー・ワンダー
87,私は働くよりも呼吸をしていたい。,マルセル・デュシャン
88,毎日新しいことが起こる。これは、神の贈り物である。人間も毎日生まれ変わる。だから、あきらめてはならない。,ユダヤの格言
89,剣で殴りつけるよりも、笑顔でおびやかすがよい。,ウィリアム・シェイクスピア
90,運命よ、そこをどけ。オレが通る。,マイケル・ジョーダン
